iyear,imonth,iday,provstate,city,latitude,longitude,location,attacktype1,attacktype1_txt,attacktype2,attacktype2_txt,target1,gname,nkill,nwound,scite1
2008,12,5,North-West Frontier Province,Peshawar,34.009667,71.579994,"At the Kabari bazaar in Peshawar, North West Frontier, Pakistan.",3,Bombing/Explosion,,,The Kabari bazaar,Unknown,27,50,"Agence France Presse, ""Death Toll in Peshawar Bomb Blast Rises to 27: Police,"" LexisNexis Academic, Agence France Presse, December 6, 2008."
2007,7,15,North-West Frontier Province,Dera Ismail Khan,31.82851,70.907234,,3,Bombing/Explosion,,,Recruiting center in Dera Ismail Khan,Unknown,27,60,"�Suicide blast kills 26 in northwest Pakistan police centre,� Agence France Presse, July 15, 2007."
2010,5,28,Punjab,Lahore,31.554606,74.357158,"At Ahl-e-Hadees mosque in Garhi Shahu, Lahore, Punjab, Pakistan.",5,Hostage Taking (Barricade Incident),3,Bombing/Explosion,The mosque of Ahl-e-Hadees was targeted in the attack.,Tehrik-i-Taliban Pakistan (TTP),27,31,"Geo TV, �Pakistan: Lahore Terror Attack Kills 82, PM Orders High-Level Inquiry,� World News Connection, Geo TV, May 29, 2010."
2010,5,28,Punjab,Lahore,31.477737,74.32942,"In Baitul Noor at 87-C in Model Town, Punjab, Pakistan.",5,Hostage Taking (Barricade Incident),3,Bombing/Explosion,A place of worship was targeted in the attack.,Tehrik-i-Taliban Pakistan (TTP),27,31,"Geo TV, �Pakistan: Lahore Terror Attack Kills 82, PM Orders High-Level Inquiry,� World News Connection, Geo TV, May 29, 2010."
2011,3,9,Khyber Pakhtunkhwa,Peshawar,34.009667,71.579994,Adezai village,3,Bombing/Explosion,,,Civilians at a funeral,Tehrik-i-Taliban Pakistan (TTP),26,50,"Xiong Tong, �Anti-Taliban Volunteer Group Abolished after Attack,� Xinhua News Agency, March 10, 2011, http://news.xinhuanet.com/english2010/world/2011-03/10/c_13770553.htm."
2010,4,19,Khyber Pakhtunkhwa,Peshawar,34.009667,71.579994,"In the Qissa Khawani area of Peshawar, Khyber Pakhtunkhwa, Pakistan.",3,Bombing/Explosion,,,Civilians,Unknown,26,30,"Jane�s Intelligence, �Suicide Bomber Kills Twenty Five in Pakistan's Peshawar,� Terrorism Watch Report, April 20, 2010."
2016,1,20,Khyber Pakhtunkhwa,Charsadda,34.136841,71.83818,,3,Bombing/Explosion,2,Armed Assault,University,Tehrik-i-Taliban Pakistan (TTP),25,22,"""Pakistan holds day of mourning over university attack as death toll rises to 21,"" Belfast Telegraph, January 21, 2016."
2014,1,19,Khyber Pakhtunkhwa,Bannu,32.986111,70.604167,,3,Bombing/Explosion,,,Compound,Tehrik-i-Taliban Pakistan (TTP),25,27,"""Deadly Bomb   Blast   Rocks Pakistan Military Compound,"" The New York Times, January 20, 2014."
2013,2,1,Khyber Pakhtunkhwa,Hangu,33.534097,71.058001,,3,Bombing/Explosion,,,Shiite Mosque,Tehrik-i-Taliban Pakistan (TTP),25,55,"""Deadly explosion hits Pakistan worshippers,"" Al Jazeera, February 1, 2013."
2012,6,16,Federally Administered Tribal Areas,Landi Kotal,34.0989,71.14978,Market area,3,Bombing/Explosion,,,Civilians,Unknown,25,50,"""Pakistan's tribesmen mourn as bomb toll rises,"" Agence France Presse -- English, June 17, 2012."
